Node, Score
367, 26
7, 25
264, 24
251, 23
266, 22
249, 21
424, 21
4, 20
427, 20
177, 19
145, 18
126, 18
559, 18
1317, 18
149, 18
5, 17
123, 17
250, 16
174, 16
667, 16
1245, 16
179, 15
247, 15
175, 15
3, 14
121, 14
2018, 14
125, 14
352, 14
144, 13
176, 13
754, 13
129, 13
128, 12
147, 12
368, 12
122, 12
697, 12
9, 11
353, 11
124, 11
248, 11
390, 11
265, 11
856, 10
146, 10
1246, 10
8, 9
127, 9
762, 9
252, 9
717, 9
148, 9
369, 9
698, 9
133, 9
1056, 9
3813, 9
51, 8
1980, 8
946, 8
2001, 8
531, 8
2227, 8
3304, 8
703, 7
1903, 7
246, 7
143, 7
38, 7
219, 7
96, 7
422, 7
423, 7
2984, 7
238, 7
558, 7
2347, 7
2414, 7
468, 7
892, 7
788, 7
2911, 7
3109, 7
1765, 7
3218, 7
1608, 7
1797, 7
1591, 6
1021, 6
1901, 6
426, 6
1842, 6
92, 6
1511, 6
1928, 6
101, 6
1940, 6
947, 6
1274, 6
921, 6
586, 6
873, 6
2210, 6
2214, 6
1227, 6
666, 6
774, 6
2338, 6
393, 6
940, 6
478, 6
626, 6
2595, 6
894, 6
2964, 6
3054, 6
3163, 6
3212, 6
3683, 6
4317, 6
4321, 6
4570, 6
5657, 6
2064, 5
17, 5
2254, 5
1917, 5
637, 5
63, 5
534, 5
1957, 5
1067, 5
2015, 5
2024, 5
365, 5
2069, 5
1428, 5
136, 5
3219, 5
178, 5
3849, 5
700, 5
554, 5
188, 5
1556, 5
2176, 5
2184, 5
2196, 5
513, 5
2225, 5
292, 5
1018, 5
2266, 5
2268, 5
2303, 5
356, 5
2373, 5
1792, 5
407, 5
1217, 5
2407, 5
695, 5
451, 5
1509, 5
1812, 5
490, 5
518, 5
823, 5
804, 5
2539, 5
590, 5
2941, 5
750, 5
732, 5
2579, 5
2598, 5
707, 5
2645, 5
2658, 5
2669, 5
837, 5
2750, 5
884, 5
906, 5
2790, 5
2810, 5
2823, 5
941, 5
6087, 5
2881, 5
2973, 5
2975, 5
1088, 5
1103, 5
1122, 5
3003, 5
1158, 5
3114, 5
1273, 5
3168, 5
3185, 5
5241, 5
1403, 5
3299, 5
1555, 5
3392, 5
1698, 5
3480, 5
1761, 5
3595, 5
3806, 5
3741, 5
3862, 5
3907, 5
3923, 5
4017, 5
5437, 5
4166, 5
4173, 5
4234, 5
4240, 5
4245, 5
4284, 5
4296, 5
4724, 5
5157, 5
5321, 5
5711, 5
5668, 5
5776, 5
5975, 5
6005, 5
6140, 5
6225, 5
6277, 5
10, 4
1896, 4
258, 4
491, 4
753, 4
520, 4
11, 4
18, 4
19, 4
1050, 4
2237, 4
2167, 4
2169, 4
49, 4
56, 4
57, 4
1996, 4
1064, 4
1364, 4
1946, 4
1947, 4
2789, 4
965, 4
1975, 4
262, 4
2014, 4
351, 4
90, 4
94, 4
105, 4
363, 4
113, 4
114, 4
1787, 4
1160, 4
1089, 4
2058, 4
2059, 4
132, 4
2075, 4
864, 4
2083, 4
629, 4
2084, 4
4944, 4
2098, 4
285, 4
5171, 4
157, 4
158, 4
2114, 4
167, 4
169, 4
2116, 4
2119, 4
180, 4
3715, 4
4539, 4
5209, 4
255, 4
1766, 4
2133, 4
183, 4
199, 4
228, 4
2218, 4
776, 4
917, 4
2209, 4
2215, 4
261, 4
1233, 4
2226, 4
2228, 4
277, 4
279, 4
967, 4
2235, 4
1571, 4
2240, 4
2244, 4
289, 4
711, 4
312, 4
2269, 4
822, 4
2299, 4
2314, 4
572, 4
2323, 4
2334, 4
2336, 4
389, 4
2351, 4
2341, 4
2360, 4
391, 4
394, 4
398, 4
2392, 4
410, 4
1256, 4
5484, 4
2437, 4
2403, 4
2411, 4
2413, 4
2425, 4
457, 4
2442, 4
459, 4
2450, 4
3205, 4
3309, 4
483, 4
2455, 4
2477, 4
2473, 4
526, 4
527, 4
4248, 4
1330, 4
553, 4
566, 4
2520, 4
615, 4
617, 4
796, 4
875, 4
2575, 4
2581, 4
1845, 4
2603, 4
2593, 4
1441, 4
2619, 4
942, 4
731, 4
734, 4
2651, 4
2686, 4
744, 4
781, 4
789, 4
850, 4
1333, 4
1860, 4
2959, 4
2797, 4
2802, 4
2822, 4
937, 4
959, 4
1249, 4
1540, 4
2876, 4
989, 4
2891, 4
993, 4
1013, 4
2914, 4
1026, 4
1316, 4
1798, 4
2942, 4
1042, 4
1087, 4
1568, 4
1094, 4
1115, 4
3158, 4
3014, 4
3038, 4
1163, 4
3781, 4
1210, 4
1242, 4
1252, 4
3709, 4
1297, 4
1534, 4
3204, 4
3216, 4
1377, 4
4170, 4
3229, 4
1401, 4
4970, 4
3295, 4
1438, 4
3301, 4
1480, 4
3336, 4
1837, 4
3362, 4
3370, 4
3400, 4
1676, 4
3463, 4
3456, 4
3457, 4
3470, 4
3473, 4
3488, 4
1732, 4
3528, 4
3540, 4
1809, 4
3567, 4
3602, 4
3608, 4
1872, 4
3622, 4
3631, 4
3660, 4
3671, 4
3716, 4
3724, 4
3740, 4
3794, 4
3818, 4
3848, 4
3850, 4
3877, 4
3924, 4
6001, 4
3942, 4
3962, 4
4012, 4
4130, 4
5056, 4
4088, 4
4083, 4
4113, 4
4128, 4
4133, 4
4160, 4
4171, 4
4185, 4
4276, 4
4333, 4
4352, 4
4439, 4
4444, 4
4457, 4
4473, 4
4503, 4
4573, 4
4581, 4
4595, 4
4611, 4
4633, 4
4652, 4
4671, 4
4694, 4
4751, 4
4776, 4
4789, 4
4811, 4
4835, 4
4885, 4
4904, 4
4928, 4
5892, 4
4943, 4
4966, 4
4987, 4
5028, 4
5105, 4
5228, 4
5245, 4
5283, 4
5376, 4
5375, 4
5395, 4
5474, 4
5454, 4
5498, 4
5596, 4
5603, 4
5606, 4
5670, 4
5703, 4
5734, 4
5803, 4
5829, 4
5887, 4
5912, 4
5933, 4
5943, 4
5962, 4
6026, 4
6041, 4
6049, 4
6075, 4
6195, 4
6272, 4
1287, 3
1669, 3
1900, 3
3002, 3
1904, 3
1905, 3
14, 3
21, 3
2074, 3
3169, 3
975, 3
1909, 3
31, 3
1022, 3
1915, 3
1516, 3
2524, 3
2630, 3
2002, 3
1934, 3
53, 3
338, 3
2366, 3
59, 3
64, 3
1997, 3
1999, 3
1198, 3
86, 3
2005, 3
74, 3
1956, 3
1972, 3
1974, 3
190, 3
1142, 3
77, 3
80, 3
2204, 3
2205, 3
1986, 3
1987, 3
1991, 3
211, 3
1240, 3
1486, 3
2039, 3
2042, 3
2043, 3
117, 3
1361, 3
2033, 3
2035, 3
2036, 3
1561, 3
2060, 3
2063, 3
503, 3
1535, 3
2071, 3
2072, 3
755, 3
2077, 3
778, 3
2086, 3
2480, 3
1728, 3
2090, 3
5338, 3
1688, 3
2104, 3
2110, 3
164, 3
1165, 3
1264, 3
1539, 3
2121, 3
173, 3
1575, 3
3344, 3
5325, 3
5584, 3
256, 3
871, 3
182, 3
2368, 3
192, 3
2137, 3
736, 3
198, 3
203, 3
412, 3
5973, 3
5974, 3
494, 3
1412, 3
2164, 3
225, 3
227, 3
893, 3
2178, 3
1564, 3
2171, 3
230, 3
235, 3
840, 3
1726, 3
2185, 3
2189, 3
2193, 3
612, 3
1068, 3
1071, 3
1073, 3
326, 3
916, 3
922, 3
983, 3
2207, 3
260, 3
1583, 3
1800, 3
2249, 3
552, 3
632, 3
779, 3
1321, 3
1371, 3
2239, 3
2241, 3
311, 3
1197, 3
300, 3
